bcv	text
40001001	Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.
40001002	Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, δὲ Ἰσαὰκ ἐγέννησεν τὸν Ἰακώβ, δὲ Ἰακὼβ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,
40001003	δὲ Ἰούδας ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, δὲ Φαρὲς ἐγέννησεν τὸν Ἑσρώμ, δὲ Ἑσρὼμ ἐγέννησεν τὸν Ἀράμ,
40001004	δὲ Ἀρὰμ ἐγέννησεν τὸν Ἀμιναδάβ, δὲ Ἀμιναδὰβ ἐγέννησεν τὸν Ναασσών, δὲ Ναασσὼν ἐγέννησεν τὸν Σαλμών,
40001005	δὲ Σαλμὼν ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, δὲ Βόες ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, δὲ Ἰωβὴδ ἐγέννησεν τὸν Ἰεσσαί,
40001006	δὲ Ἰεσσαὶ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα. δὲ Δαυὶδ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,
40001007	δὲ Σολομὼν ἐγέννησεν τὸν Ῥοβοάμ, δὲ Ῥοβοὰμ ἐγέννησεν τὸν Ἀβιά, δὲ Ἀβιὰ ἐγέννησεν τὸν Ἀσάφ,
40001008	δὲ Ἀσὰφ ἐγέννησεν τὸν Ἰωσαφάτ, δὲ Ἰωσαφὰτ ἐγέννησεν τὸν Ἰωράμ, δὲ Ἰωρὰμ ἐγέννησεν τὸν Ὀζίαν,
40001009	δὲ Ὀζίας ἐγέννησεν τὸν Ἰωαθάμ, δὲ Ἰωαθὰμ ἐγέννησεν τὸν Ἀχάζ, δὲ Ἀχὰζ ἐγέννησεν τὸν Ἑζεκίαν,
40001010	δὲ Ἑζεκίας ἐγέννησεν τὸν Μανασσῆ, δὲ Μανασσῆς ἐγέννησεν τὸν Ἀμώς, δὲ Ἀμὼς ἐγέννησεν τὸν Ἰωσίαν,
40001011	δὲ Ἰωσίας ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.
40001012	δὲ Μετὰ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, δὲ Σαλαθιὴλ ἐγέννησεν τὸν Ζοροβαβέλ,
40001013	δὲ Ζοροβαβὲλ ἐγέννησεν τὸν Ἀβιούδ, δὲ Ἀβιοὺδ ἐγέννησεν τὸν Ἐλιακίμ, δὲ Ἐλιακὶμ ἐγέννησεν τὸν Ἀζώρ,
40001014	δὲ Ἀζὼρ ἐγέννησεν τὸν Σαδώκ, δὲ Σαδὼκ ἐγέννησεν τὸν Ἀχίμ, δὲ Ἀχὶμ ἐγέννησεν τὸν Ἐλιούδ,
40001015	δὲ Ἐλιοὺδ ἐγέννησεν τὸν Ἐλεάζαρ, δὲ Ἐλεάζαρ ἐγέννησεν τὸν Ματθάν, δὲ Ματθὰν ἐγέννησεν τὸν Ἰακώβ,
40001016	δὲ Ἰακὼβ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος χριστός.
