macula_greek_id	clear_engine_id
n40001001001	40001001001
n40001001002	40001001002
n40001001003	40001001003
n40001001004	40001001004
n40001001005	40001001005
n40001001006	40001001006
n40001001007	40001001007
n40001001008	40001001008
n40001002001	40001002001
n40001002002	40001002002
n40001002003	40001002003
n40001002004	40001002004
n40001002005	40001002005
n40001002006	40001002006
n40001002007	40001002007
n40001002008	40001002008
n40001002009	40001002009
n40001002010	40001002010
n40001002011	40001002011
n40001002012	40001002012
n40001002013	40001002013
n40001002014	40001002014
n40001002015	40001002015
n40001002016	40001002016
n40001002017	40001002017
n40001002018	40001002018
n40001003001	40001003001
n40001003002	40001003002
n40001003003	40001003003
n40001003004	40001003004
n40001003005	40001003005
n40001003006	40001003006
n40001003007	40001003007
n40001003008	40001003008
n40001003009	40001003009
n40001003010	40001003010
n40001003011	40001003011
n40001003012	40001003012
n40001003013	40001003013
n40001003014	40001003014
n40001003015	40001003015
n40001003016	40001003016
n40001003017	40001003017
n40001003018	40001003018
n40001003019	40001003019
n40001003020	40001003020
n40001003021	40001003021
n40001004001	40001004001
n40001004002	40001004002
n40001004003	40001004003
n40001004004	40001004004
n40001004005	40001004005
n40001004006	40001004006
n40001004007	40001004007
n40001004008	40001004008
n40001004009	40001004009
n40001004010	40001004010
n40001004011	40001004011
n40001004012	40001004012
n40001004013	40001004013
n40001004014	40001004014
n40001004015	40001004015
n40001005001	40001005001
n40001005002	40001005002
n40001005003	40001005003
n40001005004	40001005004
n40001005005	40001005005
n40001005006	40001005006
n40001005007	40001005007
n40001005008	40001005008
n40001005009	40001005009
n40001005010	40001005010
n40001005011	40001005011
n40001005012	40001005012
n40001005013	40001005013
n40001005014	40001005014
n40001005015	40001005015
n40001005016	40001005016
n40001005017	40001005017
n40001005018	40001005018
n40001005019	40001005019
n40001005020	40001005020
n40001005021	40001005021
n40001006001	40001006001
n40001006002	40001006002
n40001006003	40001006003
n40001006004	40001006004
n40001006005	40001006005
n40001006006	40001006006
n40001006007	40001006007
n40001006008	40001006008
n40001006009	40001006009
n40001006010	40001006010
n40001006011	40001006011
n40001006012	40001006012
n40001006013	40001006013
n40001006014	40001006014
n40001006015	40001006015
n40001006016	40001006016
n40001007001	40001007001
n40001007002	40001007002
n40001007003	40001007003
n40001007004	40001007004
n40001007005	40001007005
n40001007006	40001007006
n40001007007	40001007007
n40001007008	40001007008
n40001007009	40001007009
n40001007010	40001007010
n40001007011	40001007011
n40001007012	40001007012
n40001007013	40001007013
n40001007014	40001007014
n40001007015	40001007015
n40001008001	40001008001
n40001008002	40001008002
n40001008003	40001008003
n40001008004	40001008004
n40001008005	40001008005
n40001008006	40001008006
n40001008007	40001008007
n40001008008	40001008008
n40001008009	40001008009
n40001008010	40001008010
n40001008011	40001008011
n40001008012	40001008012
n40001008013	40001008013
n40001008014	40001008014
n40001008015	40001008015
n40001009001	40001009001
n40001009002	40001009002
n40001009003	40001009003
n40001009004	40001009004
n40001009005	40001009005
n40001009006	40001009006
n40001009007	40001009007
n40001009008	40001009008
n40001009009	40001009009
n40001009010	40001009010
n40001009011	40001009011
n40001009012	40001009012
n40001009013	40001009013
n40001009014	40001009014
n40001009015	40001009015
n40001010001	40001010001
n40001010002	40001010002
n40001010003	40001010003
n40001010004	40001010004
n40001010005	40001010005
n40001010006	40001010006
n40001010007	40001010007
n40001010008	40001010008
n40001010009	40001010009
n40001010010	40001010010
n40001010011	40001010011
n40001010012	40001010012
n40001010013	40001010013
n40001010014	40001010014
n40001010015	40001010015
n40001011001	40001011001
n40001011002	40001011002
n40001011003	40001011003
n40001011004	40001011004
n40001011005	40001011005
n40001011006	40001011006
n40001011007	40001011007
n40001011008	40001011008
n40001011009	40001011009
n40001011010	40001011010
n40001011011	40001011011
n40001011012	40001011012
n40001011013	40001011013
n40001012001	40001012001
n40001012002	40001012002
n40001012003	40001012003
n40001012004	40001012004
n40001012005	40001012005
n40001012006	40001012006
n40001012007	40001012007
n40001012008	40001012008
n40001012009	40001012009
n40001012010	40001012010
n40001012011	40001012011
n40001012012	40001012012
n40001012013	40001012013
n40001012014	40001012014
n40001013001	40001013001
n40001013002	40001013002
n40001013003	40001013003
n40001013004	40001013004
n40001013005	40001013005
n40001013006	40001013006
n40001013007	40001013007
n40001013008	40001013008
n40001013009	40001013009
n40001013010	40001013010
n40001013011	40001013011
n40001013012	40001013012
n40001013013	40001013013
n40001013014	40001013014
n40001013015	40001013015
n40001014001	40001014001
n40001014002	40001014002
n40001014003	40001014003
n40001014004	40001014004
n40001014005	40001014005
n40001014006	40001014006
n40001014007	40001014007
n40001014008	40001014008
n40001014009	40001014009
n40001014010	40001014010
n40001014011	40001014011
n40001014012	40001014012
n40001014013	40001014013
n40001014014	40001014014
n40001014015	40001014015
n40001015001	40001015001
n40001015002	40001015002
n40001015003	40001015003
n40001015004	40001015004
n40001015005	40001015005
n40001015006	40001015006
n40001015007	40001015007
n40001015008	40001015008
n40001015009	40001015009
n40001015010	40001015010
n40001015011	40001015011
n40001015012	40001015012
n40001015013	40001015013
n40001015014	40001015014
n40001015015	40001015015
n40001016001	40001016001
n40001016002	40001016002
n40001016003	40001016003
n40001016004	40001016004
n40001016005	40001016005
n40001016006	40001016006
n40001016007	40001016007
n40001016008	40001016008
n40001016009	40001016009
n40001016010	40001016010
n40001016011	40001016011
n40001016012	40001016012
n40001016013	40001016013
n40001016014	40001016014
n40001016015	40001016015
n40001017001	40001017001
n40001017002	40001017002
n40001017003	40001017003
n40001017004	40001017004
n40001017005	40001017005
n40001017006	40001017006
n40001017007	40001017007
n40001017008	40001017008
n40001017009	40001017009
n40001017010	40001017010
n40001017011	40001017011
n40001017012	40001017012
n40001017013	40001017013
n40001017014	40001017014
n40001017015	40001017015
n40001017016	40001017016
n40001017017	40001017017
n40001017018	40001017018
n40001017019	40001017019
n40001017020	40001017020
n40001017021	40001017021
n40001017022	40001017022
n40001017023	40001017023
n40001017024	40001017024
n40001017025	40001017025
n40001017026	40001017026
n40001017027	40001017027
n40001017028	40001017028
n40001017029	40001017029
n40001018001	40001018001
n40001018002	40001018002
n40001018003	40001018003
n40001018004	40001018004
n40001018005	40001018005
n40001018006	40001018006
n40001018007	40001018007
n40001018008	40001018008
n40001018009	40001018009
n40001018010	40001018010
n40001018011	40001018011
n40001018012	40001018012
n40001018013	40001018013
n40001018014	40001018014
n40001018015	40001018015
n40001018016	40001018016
n40001018017	40001018017
n40001018018	40001018018
n40001018019	40001018019
n40001018020	40001018020
n40001018021	40001018021
n40001018022	40001018022
n40001018023	40001018023
n40001018024	40001018024
n40001018025	40001018025
n40001018026	40001018026
n40001019001	40001019001
n40001019002	40001019002
n40001019003	40001019003
n40001019004	40001019004
n40001019005	40001019005
n40001019006	40001019006
n40001019007	40001019007
n40001019008	40001019008
n40001019009	40001019009
n40001019010	40001019010
n40001019011	40001019011
n40001019012	40001019012
n40001019013	40001019013
n40001019014	40001019014
n40001019015	40001019015
n40001019016	40001019016
n40001020001	40001020001
n40001020002	40001020002
n40001020003	40001020003
n40001020004	40001020004
n40001020005	40001020005
n40001020006	40001020006
n40001020007	40001020007
n40001020008	40001020008
n40001020009	40001020009
n40001020010	40001020010
n40001020011	40001020011
n40001020012	40001020012
n40001020013	40001020013
n40001020014	40001020014
n40001020015	40001020015
n40001020016	40001020016
n40001020017	40001020017
n40001020018	40001020018
n40001020019	40001020019
n40001020020	40001020020
n40001020021	40001020021
n40001020022	40001020022
n40001020023	40001020023
n40001020024	40001020024
n40001020025	40001020025
n40001020026	40001020026
n40001020027	40001020027
n40001020028	40001020028
n40001020029	40001020029
n40001020030	40001020030
n40001020031	40001020031
n40001021001	40001021001
n40001021002	40001021002
n40001021003	40001021003
n40001021004	40001021004
n40001021005	40001021005
n40001021006	40001021006
n40001021007	40001021007
n40001021008	40001021008
n40001021009	40001021009
n40001021010	40001021010
n40001021011	40001021011
n40001021012	40001021012
n40001021013	40001021013
n40001021014	40001021014
n40001021015	40001021015
n40001021016	40001021016
n40001021017	40001021017
n40001021018	40001021018
n40001021019	40001021019
n40001022001	40001022001
n40001022002	40001022002
n40001022003	40001022003
n40001022004	40001022004
n40001022005	40001022005
n40001022006	40001022006
n40001022007	40001022007
n40001022008	40001022008
n40001022009	40001022009
n40001022010	40001022010
n40001022011	40001022011
n40001022012	40001022012
n40001022013	40001022013
n40001022014	40001022014
n40001023001	40001023001
n40001023002	40001023002
n40001023003	40001023003
n40001023004	40001023004
n40001023005	40001023005
n40001023006	40001023006
n40001023007	40001023007
