StrongNumber,Lemma,SenseNumber,English,Chinese,Instances,Category,BDAG agreement,LN agreement,Definition,Explanations
"3439","μονογενής",2,"only beget",,"430030160120010 430030180200010 430010180050010 430010140170010",3,0,0,,
"3439","μονογενής",1,"only",,"620040090150010 420070120120010 420080420030010 420090380180010 580110170090010",3,0,0,,
"2837","κοιμάω",3,"dead",,"460070390120010",2,0,0,,
"2837","κοιμάω",2,"sleep",,"440120060140010 420220450110010 460110300100010 520040130090010 400280130120010",2,0,0,,
"2837","κοιμάω",1,"fall asleep",,"440070600180010 430110110120010 430110120080010 610030040150010 440130360110010 460150060160010 520040150230010 520040140140010 460150180040010 400270520090010 460150200090010 460150510070010",2,0,0,,
"0409","ἀνδροφόνος",1,"murderer",,"540010090210010",1,0,0,,
"1022","βραδύτης",1,"slowness",,"610030090080010",1,0,0,,
"1935","ἐπιθανάτιος",1,"condemn to death",,"460040090110010",3,0,0,,
"4217","ποταπός",2,"what sort of",,"610030110050010",3,0,0,,
"4217","ποταπός",1,"what sort",,"420070390200010 420010290090010 400080270060010 620030010020010 410130010180010 410130010150010",3,0,0,,
"3596","ὁδοιπορέω",1,"travel",,"440100090040010",2,0,0,,
"2569","καλοποιέω",1,"do good",,"530030130060010",2,0,0,,
"1004","βόρβορος",1,"mud",,"610020220180010",1,0,0,,
"0138","αἱρέομαι",1,"choose",,"530020130150010 500010220130010 580110250020010",2,0,0,,
"2771","κέρδος",1,"gain",,"500030070050010 500010210090010 560010110130010",1,0,0,,
"5594","ψύχω",1,"grow cold",,"400240120070010",2,0,0,,
"1600","ἐκπετάννυμι",1,"reach out",,"450100210090010",2,0,0,,
"5199","ὑγιής",2,"heal",,"410050340160010",3,0,0,,
"5199","ὑγιής",1,"well",,"430050110080010 430070230180010 430050140140010 430050150140010 430050090040010 430050060160010 560020080020010 440040100330010 400120130130010 400150310090010",3,0,0,,
"3775","οὖς",1,"ear",,"420090440050010 410080180060010 420140350140010 420010440120010 400110150030010 460020090090010 400130150100010 660030060030010 410040230040010 440280270240010 440280270100010 440070510070010 400130160100010 420080080190010 590050040230010 460120160050010 440070570070010 400130150240010 400130090030010 660020290030010 600030120070010 660030130030010 660020170030010 450110080140010 410070330150010 660030220030010 660130090040010 420220500140010 660020110030010 410040090050010 400130430160010 660020070030010 400100270150010 420120030160010 440110220070010 420040210140010",1,0,0,,
"4651","σκορπίος",1,"scorpion",,"660090050190010 420110120070010 660090100050010 660090030180010 420100190110010",1,0,0,,
"5366","φιλάργυρος",1,"lover of money",,"420160140070010 550030020060010",3,0,0,,
"3908","παρατίθημι",7,"demonstrating",,"440170030030010",2,0,0,,
"3908","παρατίθημι",6,"entrust",,"420120480220010 420230460120010",2,0,0,,
"3908","παρατίθημι",5,"serve",,"410080060240010 410080070110010",2,0,0,,
"3908","παρατίθημι",4,"present",,"400130240030010 400130310030010",2,0,0,,
"3908","παρατίθημι",3,"commend",,"440200320040010 440140230100010",2,0,0,,
"3908","παρατίθημι",2,"commit",,"550020020100010 600040190120010 540010180040010",2,0,0,,
"3908","παρατίθημι",1,"set before",,"460100270120010 420090160220010 440160340070010 420100080120010 420110060130010 410060410250010 410080060220010",2,0,0,,
"1553","ἐκδημέω",1,"absent",,"470050090070010 470050060110010 470050080060010",2,0,0,,
"3787","ὀφθαλμοδουλία",1,"watch",,"490060060030010 510030220120010",1,0,0,,
"2044","ἐρεύγομαι",1,"utter",,"400130350150010",2,0,0,,
"1841","ἔξοδος",1,"exodus",,"420090310070010 610010150100010 580110220060010",1,0,0,,
"2960","κυριακός",1,"lord",,"660010100060010 460110200090010",3,0,0,,
"5575","ψευδόμαρτυς",1,"false witness",,"400260600060010 460150150040010",1,0,0,,
"5483","χαρίζομαι",5,"granted",,"570010220140010 420070210170010",2,0,0,,
"5483","χαρίζομαι",4,"hand over",,"440250110260010 440250160090010",2,0,0,,
"5483","χαρίζομαι",3,"freely give",,"450080320220010 460020120220010",2,0,0,,
"5483","χαρίζομαι",2,"give",,"500010290030010 500020090080010 440030140120010 480030180150010 440270240110010",2,0,0,,
"5483","χαρίζομαι",1,"forgive",,"510020130180010 470020070050010 470120130180010 490040320150010 510030130040010 470020100040010 490040320070010 470020100130010 470020100100010 510030130160010 420070430090010 420070420060010",2,0,0,,
"4128","πλῆθος",3,"in number",,"580110120150010",1,0,0,,
"4128","πλῆθος",2,"bundle",,"440280030070010 440040320030010",1,0,0,,
"4128","πλῆθος",1,"multitude",,"420080370060010 440140040040010 410030080170010 440190090120010 440150120050010 440250240190010 440050160050010 420060170150010 440170040170010 420050060050010 430050030040010 600040080120010 590050200170010 420020130070010 440210360040010 420010100040010 410030070140010 440050140070010 440140010250010 440020060080010 420190370150010 420230270050010 440230070140010 440150300110010 420230010050010 440060020060010 440060050080010 430210060250010",1,0,0,,
"1570","ἔκθετος",1,"expose",,"440070190140010",3,0,0,,
"4676","σουδάριον",3,"cloth",,"430110440150010",1,0,0,,
"4676","σουδάριον",2,"face cloth",,"430200070030010",1,0,0,,
"4676","σουδάριον",1,"handkerchief",,"420190200150010 440190120110010",1,0,0,,
"1760","διενθυμέομαι",1,"reflecting",,"440100190040010",2,0,0,,
"5612","ὠρύομαι",1,"roar",,"600050080090010",2,0,0,,
"4867","συναθροίζω",1,"gather together",,"440120120180010 440190250020010",2,0,0,,
"3418","μνῆμα",1,"tomb",,"410050050090010 440020290200010 420240010100010 410050030070010 440070160090010 420230530100010 660110090270010 420080270290010",1,0,0,,
"2170","εὐχάριστος",1,"thankful",,"510030150190010",3,0,0,,
"1533","εἰσφέρω",2,"bring in",,"420050190050010 420050180140010",2,0,0,,
"1533","εἰσφέρω",1,"bring",,"400060130030010 420110040160010 580130110030010 420120110030010 540060070030010 440170200040010",2,0,0,,
"3359","μέτωπον",1,"forehead",,"660130160340010 660070030210010 660200040440010 660140090250010 660140010320010 660170050040010 660090040300010 660220040120010",1,0,0,,
"0969","βήρυλλος",1,"beryl",,"660210200120010",1,0,0,,
"4851","συμφέρω",6,"have bring together",,"440190190070010",2,0,0,,
"4851","συμφέρω",5,"beneficial",,"460120070100010",2,0,0,,
"4851","συμφέρω",4,"good",,"580120100160010",2,0,0,,
"4851","συμφέρω",3,"helpful",,"460100230060010 460060120070010",2,0,0,,
"4851","συμφέρω",2,"profitable",,"440200200050010 470120010040010 470080100090010",2,0,0,,
"4851","συμφέρω",1,"better",,"430110500040010 430180140090010 430160070070010 400190100170010 400050290160010 400050300150010 400180060130010",2,0,0,,
"1717","ἐμφανής",2,"manifest",,"450100200120010",3,0,0,,
"1717","ἐμφανής",1,"visible",,"440100400120010",3,0,0,,
"1388","δόλος",2,"treacherous way",,"400260040060010 410140010210010",1,0,0,,
"1388","δόλος",1,"deceit",,"600020010070010 430010470180010 600020220070010 470120160100010 450010290110010 440130100050010 600030100200010 410070220040010 520020030130010",1,0,0,,
"4113","πλατεῖα",1,"street",,"660110080070010 400060050190010 400120190100010 440050150050010 420130260120010 660210210180010 420140210220010 420100100140010 660220020040010",1,0,0,,
"2238","ἡδύοσμον",1,"mint",,"400230230100010 420110420090010",1,0,0,,
"5073","τετραπλοῦς",1,"four time",,"420190080240010",3,0,0,,
"1365","διστάζω",1,"doubt",,"400140310160010 400280170070010",2,0,0,,
"5442","φυλάσσω",6,"preserve",,"610020050110010",2,0,0,,
"5442","φυλάσσω",5,"protect from",,"650010240040010",2,0,0,,
"5442","φυλάσσω",4,"avoid",,"440210250090010",2,0,0,,
"5442","φυλάσσω",3,"on guard",,"420120150070010 610030170050010 550040150040010",2,0,0,,
"5442","φυλάσσω",2,"guard",,"440280160140010 550010120220010 420110210050010 540060200050010 440120040110010 550010140040010 420080290210010 620050210020010 430170120160010 530030030100010 440220200170010",2,0,0,,
"5442","φυλάσσω",1,"keep",,"420020080110010 410100200080010 430120250210010 440070530100010 420180210060010 430120470100010 450020260090010 480060130070010 400190200070010 440210240280010 420110280130010 440230350160010 440160040080010 540050210140010",2,0,0,,
"3403","μιμνῄσκομαι",1,"remember",,"580130030010010 580020060100010",2,0,0,,
