macula_greek_word_id	sense_number
n43003016012	2
n43003018020	2
n43001018005	2
n43001014017	2
n62004009015	1
n42007012012	1
n42008042003	1
n42009038018	1
n58011017009	1
n46007039012	3
n44012006014	2
n42022045011	2
n46011030010	2
n52004013009	2
n40028013012	2
n44007060018	1
n43011011012	1
n43011012008	1
n61003004015	1
n44013036011	1
n46015006016	1
n52004015023	1
n52004014014	1
n46015018004	1
n40027052009	1
n46015020009	1
n46015051007	1
n54001009021	1
n61003009008	1
n46004009011	1
n61003011005	2
n42007039020	1
n42001029009	1
n40008027006	1
n62003001002	1
n41013001018	1
n41013001015	1
n44010009004	1
n53003013006	1
n61002022018	1
n53002013015	1
n50001022013	1
n58011025002	1
n50003007005	1
n50001021009	1
n56001011013	1
n40024012007	1
n45010021009	1
n41005034016	2
n43005011008	1
n43007023018	1
n43005014014	1
n43005015014	1
n43005009004	1
n43005006016	1
n56002008002	1
n44004010033	1
n40012013013	1
n40015031009	1
n42009044005	1
n41008018006	1
n42014035014	1
n42001044012	1
n40011015003	1
n46002009009	1
n40013015010	1
n66003006003	1
n41004023004	1
n44028027024	1
n44028027010	1
n44007051007	1
n40013016010	1
n42008008019	1
n59005004023	1
n46012016005	1
n44007057007	1
n40013015024	1
n40013009003	1
n66002029003	1
n60003012007	1
n66003013003	1
n66002017003	1
n45011008014	1
n41007033015	1
n66003022003	1
n66013009004	1
n42022050014	1
n66002011003	1
n41004009005	1
n40013043016	1
n66002007003	1
n40010027015	1
n42012003016	1
n44011022007	1
n42004021014	1
n66009005019	1
n42011012007	1
n66009010005	1
n66009003018	1
n42010019011	1
n42016014007	1
n55003002006	1
n44017003003	7
n42012048022	6
n42023046012	6
n41008006024	5
n41008007011	5
n40013024003	4
n40013031003	4
n44020032004	3
n44014023010	3
n55002002010	2
n60004019012	2
n54001018004	2
n46010027012	1
n42009016022	1
n44016034007	1
n42010008012	1
n42011006013	1
n41006041025	1
n41008006022	1
n47005009007	1
n47005006011	1
n47005008006	1
n49006006003	1
n51003022012	1
n40013035015	1
n42009031007	1
n61001015010	1
n58011022006	1
n66001010006	1
n46011020009	1
n40026060006	1
n46015015004	1
n57001022014	5
n42007021017	5
n44025011026	4
n44025016009	4
n45008032022	3
n46002012022	3
n50001029003	2
n50002009008	2
n44003014012	2
n48003018015	2
n44027024011	2
n51002013018	1
n47002007005	1
n47012013018	1
n49004032015	1
n51003013004	1
n47002010004	1
n49004032007	1
n47002010013	1
n47002010010	1
n51003013016	1
n42007043009	1
n42007042006	1
n58011012015	3
n44028003007	2
n44004032003	2
n42008037006	1
n44014004004	1
n41003008017	1
n44019009012	1
n44015012005	1
n44025024019	1
n44005016005	1
n42006017015	1
n44017004017	1
n42005006005	1
n43005003004	1
n60004008012	1
n59005020017	1
n42002013007	1
n44021036004	1
n42001010004	1
n41003007014	1
n44005014007	1
n44014001025	1
n44002006008	1
n42019037015	1
n42023027005	1
n44023007014	1
n44015030011	1
n42023001005	1
n44006002006	1
n44006005008	1
n43021006025	1
n44007019014	1
n43011044015	3
n43020007003	2
n42019020015	1
n44019012011	1
n44010019004	1
n40001020004	1
n40009004010	1
n60005008009	1
n44012012018	1
n44019025002	1
n42024033011	1
n41005005009	1
n44002029020	1
n42024001010	1
n41005003007	1
n44007016009	1
n42023053010	1
n66011009027	1
n42008027029	1
n51003015019	1
n42005019005	2
n42005018014	2
n40006013003	1
n42011004016	1
n58013011003	1
n42012011003	1
n54006007003	1
n44017020004	1
n66013016034	1
n66007003021	1
n66020004044	1
n66014009025	1
n66014001032	1
n66017005004	1
n66009004030	1
n66022004012	1
n66021020012	1
n44019019007	6
n46012007010	5
