strong,instances
0005,41014036003
0006,40023035015
0007,40001007010 40001007011
0008,41002026009
0010,40001013005 40001013006
0011,40001001008 40001002001 40001017006 40003009010 40003009025 40008011014 40022032005 41012026025
0018,40005045018 40007011008 40007011023 40007017004 40007018004 40012034005 40012035002 40012035006 40012035009 40019016009 40019017010 40019017014 40020015018 40022010016 40025021008 40025023008 41003004007 41010017014 41010018009 41010018011
0021,40005012003
0023,40020024005 40021015026 40026008005 41010014005 41010041006 41014004004
0025,40005043004 40005044005 40005046003 40005046005 40006024014 40019019008 40022037005 40022039004 41010021006 41012030002 41012031003 41012033003 41012033021
0026,40024012009
0027,40003017014 40012018008 40017005022 41001011013 41009007018 41012006005
0029,40005041004 40027032009 41015021002
0030,40013048014 40025004008
0032,40001020006 40001024013 40002013005 40002019006 40004006016 40004011008 40011010010 40013039019 40013041007 40013049010 40016027016 40018010013 40022030011 40024031004 40024036012 40025031015 40025041022 40026053017 40028002006 40028005004 41001002011 41001013019 41008038035 41012025013 41013027005 41013032013
0034,40008030006 40008031014 40008032017 41005011007 41005013017
0037,40006009011 40023017014 40023019011
0040,40001018026 40001020031 40003011029 40004005008 40007006004 40012032021 40024015017 40027052010 40027053013 40028019019 41001008010 41001024016 41003029009 41006020012 41008038037 41012036008 41013011031
0044,40017027010
0046,40009016006 41002021004
0050,41009032003
0058,40011016013 40020003011 40023007006 41006056015 41007004003 41012038020
0059,40013044027 40013046012 40014015027 40021012013 40025009020 40025010004 40027007004 41006036011 41006037014 41011015016 41015046002 41016001015
0064,41012013013
0066,40003004027 41001006020
0068,40006028010 40006030006 40013024017 40013027017 40013031020 40013036023 40013038003 40013044011 40013044029 40019029017 40022005010 40024018005 40024040006 40027007008 40027008004 40027008006 40027010006 41005014014 41006036008 41006056012 41010029023 41010030020 41011008016 41013016005 41015021009 41016012014
0069,41013033002
0071,40010018007 40021002020 40021007001 40026046002 41001038004 41013011003 41014042002
0079,40012050017 40013056003 40019029009 41003032019 41003035012 41006003023 41010029015 41010030014
0080,40001002017 40001011008 40004018010 40004018018 40004021007 40004021015 40005022010 40005022021 40005023014 40005024014 40005047005 40007003011 40007004005 40007005020 40010002017 40010002027 40010021003 40010021004 40012046011 40012047011 40012048017 40012049017 40012050015 40013055016 40014003018 40017001015 40018015005 40018015020 40018021013 40018035015 40019029007 40020024009 40022024013 40022024022 40022025006 40022025021 40023008015 40025040016 40028010011 41001016013 41001019012 41003017009 41003031008 41003032015 41003033012 41003034015 41003035009 41005037017 41006003011 41006017020 41006018015 41010029013 41010030012 41012019008 41012019020 41012019028 41012020002 41013012003 41013012004
0085,40026037013 41014033017
0086,40011023009 40016018020
0091,40020013009
0094,40005045024
0101,40017020030
0102,40019026010 41010027008
0105,40024028009
0106,40026017005 41014001007 41014012006
0107,40001013015 40001014001
0114,41006026014 41007009005
0121,40027004005 40027024021
0123,40013002019 40013048007
0125,40002013024 40002014015 40002015019 40002019014
0129,40016017014 40023030018 40023035006 40023035014 40023035020 40026028005 40027004004 40027006017 40027008007 40027024025 40027025008 41005025006 41005029007 41014024007
0131,40009020004
0136,40021016023
0140,40012018006
0142,40004006024 40009006021 40009016010 40011029001 40013012015 40014012006 40014020007 40015037011 40016024017 40017027016 40020014001 40021021028 40021043006 40024017007 40024018009 40024039009 40025028001 40025029015 40027032011 41002003007 41002009015 41002011004 41002012005 41002021012 41004015020 41004025013 41006008006 41006029008 41006043002 41008008006 41008019013 41008020011 41008034020 41011023011 41013015010 41013016011 41015021016 41015024015 41016018002
0154,40005042002 40006008016 40007007001 40007008004 40007009008 40007010004 40007011025 40014007009 40018019019 40020020015 40020022009 40021022005 40027020011 40027058005 41006022022 41006023007 41006024008 41006025009 41010035017 41010038009 41011024009 41015008006 41015043023
0156,40019003017 40019010009 40027037008 41015026006
0165,40012032029 40013022017 40013039014 40013040015 40013049007 40021019031 40024003031 40028020021 41003029015 41004019005 41010030026 41011014008
0166,40018008040 40019016014 40019029026 40025041015 40025046006 40025046012 41003029019 41010017019 41010030030 41016099032
0167,40023027023
0169,40010001011 40012043004 41001023011 41001026007 41001027019 41003011005 41003030004 41005002016 41005008008 41005013009 41006007018 41007025013 41009025012
0173,40007016010 40013007006 40013007010 40013022005 40027029005 41004007006 41004007010 41004018007
0174,41015017009
0175,40013022027 41004019022
0185,40010016017
0188,40015016004
0189,40004024004 40013014009 40014001010 40024006006 41001028004 41007035005 41013007006
0190,40004020007 40004022011 40004025002 40008001007 40008010009 40008019008 40008022006 40008023007 40009009017 40009009021 40009019005 40009027006 40010038009 40012015008 40014013018 40016024022 40019002002 40019021024 40019027012 40019028012 40020029006 40020034013 40021009009 40026058004 40027055010 41001018006 41002014015 41002014019 41002015025 41003007018 41005024006 41006001011 41008034025 41009038016 41009038023 41010021029 41010028011 41010032019 41010052016 41011009006 41014013021 41014054006 41015041007
0191,40002003001 40002009003 40002018004 40002022001 40004012001 40005021001 40005027001 40005033002 40005038001 40005043001 40007024004 40007026004 40008010001 40009012003 40010014008 40010027016 40011002004 40011004011 40011005010 40011015004 40012019006 40012024004 40012042021 40013009004 40013013012 40013013014 40013014010 40013015012 40013015026 40013016013 40013017018 40013017020 40013017023 40013018003 40013019002 40013020012 40013022012 40013023013 40013043017 40014001005 40014013001 40014013015 40015010007 40015012011 40017005026 40017006002 40018015017 40018016004 40019022001 40019025001 40020024002 40020030009 40021016004 40021033003 40021045002 40022022002 40022033002 40022034004 40024006003 40026065017 40027013007 40027047006 40028014003 41002001008 41002017002 41003008019 41003021002 41004003001 41004009006 41004009007 41004012008 41004012009 41004015014 41004016012 41004018014 41004020012 41004023005 41004023006 41004024006 41004033011 41005027001 41006002012 41006011009 41006014002 41006016001 41006020017 41006020024 41006029002 41006055016 41007014008 41007025003 41007037012 41008018009 41009007019 41010041002 41010047002 41011014015 41011018002 41012028006 41012029007 41012037015 41013007003 41014011003 41014058003 41014064001 41015035005 41016011002
0192,40023025022
0198,40002007007 40002016034
0199,40002008009
0200,40003004024 41001006017
0206,40024031019 40024031022 41013027016 41013027019
0208,40015006012 41007013001
0211,40026007005 41014003017 41014003024
0214,41005038014
0216,41007037014 41009017017 41009025016
0217,40005013004 40005013010 41009050003 41009050007 41009050017
0218,40006017004 41006013006 41016001019
0219,41013035017
0220,40026034014 40026074013 40026075011 41014030018 41014072005 41014072020
0223,41015021012
0224,40013033017
0225,40022016022 41005033020 41012014024 41012032009
0227,40022016014 41012014008
0229,40024041002
0230,40014033009 40026073010 40027054020 41014070014 41015039014
0231,40004018027 40004019010 41001016021 41001017013
0233,40005013014 41009049004
0235,40004004013 40005015010 40005017014 40005039009 40006013007 40006018007 40007021014 40008004009 40008008016 40009012011 40009013016 40009017022 40009018018 40009024008 40010020007 40010034014 40011008001 40011009001 40013021007 40015011010 40016012012 40016017018 40016023020 40017012012 40018022010 40018030005 40019006005 40019011011 40020023022 40020026006 40020028009 40021021022 40022030009 40022032019 40024006014 40026039027 40027024008 41001044008 41001045019 41002017013 41002017021 41002022024 41003026013 41003027001 41003029016 41004017007 41004022013 41005019005 41005026016 41005039013 41006009001 41006052007 41007005021 41007015013 41007019008 41007025001 41008033023 41009008007 41009013001 41009022014 41009037022 41010008012 41010027009 41010040014 41010043007 41010045010 41011023024 41011032001 41012014022 41012025010 41012027005 41013007012 41013011010 41013011027 41013020013 41013024001 41014028001 41014029010 41014036015 41014036020 41014049014 41016007001
0237,41001038005
0240,40024010006 40024010010 40025032012 41004041008 41008016004 41009034005 41009050021 41015031007
0243,40002012010 40004021005 40005039022 40008009019 40012013016 40013005001 40013007001 40013008001 40013024001 40013031001 40013033001 40016014009 40019009016 40020003007 40020006007 40021008012 40021033001 40021036003 40021041011 40022004003 40025016012 40025017006 40025020009 40025020019 40025022014 40026071008 40027042001 40027061009 40028001015 41004005002 41004007002 41004008002 41004018002 41004036013 41006015001 41006015007 41007004010 41008028011 41008028013 41010011012 41010012009 41011008010 41012004006 41012005002 41012005008 41012009016 41012031011 41012032017 41014058018 41015031012 41015041013
0245,40017025034 40017026005
0254,41005003010 41005004007 41005004014
0256,40010003012 41002014007 41003018015
0257,40003012011
0258,40008020007
0260,40013029011 40020001012
0264,40018015003 40018021009 40027004002
0265,41003028012 41003029020
0266,40001021018 40003006011 40009002024 40009005009 40009006015 40012031006 40026028015 41001004013 41001005023 41002005015 41002007009 41002009010 41002010012
0268,40009010013 40009011015 40009013017 40011019019 40026045025 41002015013 41002016011 41002016023 41002017022 41008038017 41014041027
0272,40022005003
0275,40028014012
